Year,Week_Number,mean_return,volatility
2015,00,0.0,0.0
2015,01,-0.3708,0.8230156134606439
2015,02,0.06099999999999994,1.2273778961672726
2015,03,0.392,0.9696363579541903
2015,04,-1.0592,1.009232728363483
2015,05,0.523,1.4310752950142072
2015,06,0.4434,1.1587257225072722
2015,07,-0.09,0.5645777182992613
2015,08,0.02319999999999999,0.2854920314124372
2015,09,-0.6546000000000001,1.676832669051984
2015,10,0.008800000000000007,1.4877253442756158
2015,11,0.9517999999999999,1.7237691840846907
2015,12,-0.8075999999999999,0.7452790081573478
2015,13,0.08099999999999993,1.2019614525155677
2015,14,0.41479999999999995,0.33819920165488265
2015,15,-0.22280000000000005,1.778712933556171
2015,16,0.03860000000000001,0.5773502403221116
2015,17,0.6049999999999999,1.8187241407096348
2015,18,-0.15639999999999996,1.2636031022437386
2015,19,0.06639999999999999,0.8432326487986576
2015,20,-0.09920000000000001,0.4044832505802929
2015,21,-0.24375000000000002,1.4417296036358551
2015,22,0.14759999999999995,0.5017063882391771
2015,23,0.2476,1.3251144478874268
2015,24,-1.2424,2.7211744339531045
2015,25,-0.2886,0.6249558384398053
2015,26,-0.38475,0.7169297385378849
2015,27,0.0768,0.7415930150695864
2015,28,0.02320000000000002,0.898750910987021
2015,29,-0.7018,0.4953339277699439
2015,30,0.4840000000000001,1.298588271932255
2015,31,-0.18980000000000002,0.5462098497830298
2015,32,-0.072,1.0095684721701643
2015,33,-0.9524000000000001,1.5596572700436464
2015,34,-0.009799999999999854,3.0989258138910003
2015,35,-0.6288,1.922386459586105
2015,36,1.137,2.239226354495379
2015,37,-0.8089999999999999,2.026499074759226
2015,38,-0.17759999999999998,1.0882707843179473
2015,39,0.47000000000000003,1.4210693156915322
2015,40,0.7298,0.7739154992633239
2015,41,-0.3834000000000001,0.8142237407494332
2015,42,0.384,1.7488996540682373
2015,43,0.4031999999999999,0.671163690913029
2015,44,0.9039999999999999,0.9645470439537928
2015,45,-1.6852,1.167783241873251
2015,46,1.0732,0.8161560512549055
2015,47,-0.10025,0.6286633306733688
2015,48,0.010000000000000054,2.268908658364192
2015,49,-1.0128,0.9266437826910618
2015,50,-0.43179999999999996,2.9324999062233577
2015,51,0.4515,0.34159381337098793
2015,52,-0.3235,0.7341069404385169
2016,01,-0.9652000000000001,1.080984597485089
2016,02,-0.2843999999999999,2.4062671921463754
2016,03,0.5042500000000001,1.6270866346530743
2016,04,0.8678000000000001,1.914909449556297
2016,05,-0.32199999999999995,2.0192853934003483
2016,06,-0.08239999999999999,1.3641181400450624
2016,07,0.866,1.1769992919850603
2016,08,0.10480000000000005,1.3327757500795097
2016,09,0.5084,1.6010369452326827
2016,10,0.5612,1.4010014989285344
2016,11,1.2785999999999997,1.7585610026382368
2016,12,-0.3055,0.9378238996030474
2016,13,0.09419999999999999,0.6240919002839245
2016,14,-0.3858,1.2189953650445107
2016,15,0.4042,1.0665189637320098
2016,16,-0.1556,0.48410153893578983
2016,17,-0.4136,0.791369572323829
2016,18,-0.22219999999999995,1.0651026711073446
2016,19,0.10540000000000001,1.0112253952507324
2016,20,-0.09460000000000002,1.2697278448549516
2016,21,0.3362,0.9717927762645697
2016,22,-0.5907500000000001,2.296298089679706
2016,23,-0.1826,0.7629716901694322
2016,24,0.48840000000000006,1.389662117206913
2016,25,-0.20780000000000004,2.224367820303108
2016,26,0.9077999999999999,2.029407967856636
2016,27,0.008750000000000036,0.8317000160314213
2016,28,0.43859999999999993,0.6841727121129576
2016,29,-0.3308,0.6558717100165244
2016,30,-0.018400000000000007,0.46308346979783244
2016,31,0.04560000000000003,0.6591891230898762
2016,32,-0.019000000000000006,0.33558158471525223
2016,33,0.11259999999999999,0.44428796967732537
2016,34,-0.0274,0.6606430957786511
2016,35,-0.004799999999999999,0.18119519861188374
2016,36,-0.745,0.8763846187605074
2016,37,-0.5326000000000001,2.626858351719788
2016,38,0.16119999999999998,0.7813934348329271
2016,39,0.027199999999999967,0.6494233596045033
2016,40,-0.21339999999999998,0.6004396722402675
2016,41,-0.15199999999999997,0.9278173311595338
2016,42,-0.2506,0.3766534215960344
2016,43,0.12699999999999997,0.46547878576794455
2016,44,0.05979999999999998,0.7449269762869378
2016,45,0.6078,0.9881099129145502
2016,46,0.21160000000000007,1.0860344377596873
2016,47,0.25625,0.24108833097711996
2016,48,-0.8836,1.6795693793350723
2016,49,1.0306,0.8137384715005184
2016,50,-0.6940000000000002,2.037904561062662
2016,51,-0.1634,0.4211404753760911
2016,52,-0.213,0.33888542803333005
2017,01,0.09899999999999998,0.5594288754316018
2017,02,0.42139999999999994,0.9638572508416379
2017,03,0.389,0.903543026092283
2017,04,0.181,0.5619639668163787
2017,05,0.10119999999999996,0.6858576382894631
2017,06,0.18019999999999997,0.8273504094396762
2017,07,0.6155999999999999,0.41250006060605615
2017,08,0.6537499999999999,0.27244005456858456
2017,09,-0.22159999999999996,0.6763196729358093
2017,10,-0.004200000000000026,0.37545266013174017
2017,11,1.3878,2.729998113552462
2017,12,-0.4452,0.5532347602962056
2017,13,-0.01740000000000001,0.38409543085019904
2017,14,-0.1434,0.35255964034472237
2017,15,-0.056249999999999994,0.3435339624161392
2017,16,0.19619999999999999,0.6523489863562294
2017,17,0.23820000000000002,0.4626993624374255
2017,18,0.27599999999999997,0.6522376867369748
2017,19,-0.21999999999999997,0.3518913184493189
2017,20,-0.33859999999999996,1.152032464820328
2017,21,0.4257999999999999,0.4198079322737959
2017,22,0.22125,0.5133818429460343
2017,23,-0.2762,0.5808121038683681
2017,24,0.028000000000000004,0.5722516928764825
2017,25,2.5180000000000002,3.413568806981925
2017,26,-0.3188,0.5861746326821043
2017,27,-0.39050000000000007,1.2139809169285432
2017,28,0.48660000000000003,0.4768199869971895
2017,29,0.1718,0.6207444723877934
2017,30,-0.19499999999999998,0.7963727142487995
2017,31,-0.1334,0.7768113026984096
2017,32,-0.6952,0.880227356993635
2017,33,0.16120000000000004,1.030658381812325
2017,34,0.2546,0.43840369523990097
2017,35,0.5548,0.3897424790807386
2017,36,0.47250000000000003,0.7259910467767491
2017,37,-1.0674,3.7603944340986355
2017,38,-0.23819999999999997,0.4903358033021859
2017,39,0.0796,0.4270717738273041
2017,40,0.02280000000000002,0.739729139618009
2017,41,0.1658,0.3637013885043608
2017,42,0.263,0.5610993673138476
2017,43,0.6564,0.8602356072611735
2017,44,-0.276,0.43822596910726314
2017,45,-0.33880000000000005,1.2551082423440618
2017,46,-0.15300000000000002,0.6231524693042627
2017,47,0.037250000000000005,0.6948546010977165
2017,48,0.24699999999999997,0.912598761778691
2017,49,0.008599999999999941,1.7653966409846824
2017,50,-0.5132,2.031114644720972
2017,51,-0.3898,0.7933805518160878
2017,52,-0.04150000000000001,0.3505619298592856
2018,00,0.6319999999999999,1.5263697673456018
2018,01,0.5052,0.6745855764838142
2018,02,0.5375,0.6435497908735061
2018,03,0.8466000000000001,0.8074486361373088
2018,04,-1.0028000000000001,1.6480921394145411
2018,05,-0.9343999999999998,3.226006246119186
2018,06,1.222,0.9400393608780433
2018,07,-0.09500000000000008,1.516671135524552
2018,08,-0.0638,1.377557149449706
2018,09,1.0336,0.6980901087968515
2018,10,-0.2652,0.28351666617678756
2018,11,-2.9816000000000003,3.755382443906346
2018,12,0.55925,2.7260643639992557
2018,13,-0.39459999999999995,1.6461618389453694
2018,14,0.5549999999999999,0.9264091968455408
2018,15,0.15239999999999995,1.056361822483187
2018,16,-0.30279999999999996,0.7201782418262856
2018,17,0.08319999999999998,1.0504214392328444
2018,18,0.48319999999999996,0.7232328117556615
2018,19,-0.2144,0.21749896551478123
2018,20,0.3018,1.5760871486056856
2018,21,0.19525,1.5864798296858362
2018,22,0.35059999999999997,0.7753768761060649
2018,23,-0.7786000000000001,2.3554733706836934
2018,24,-0.9,3.804923849435098
2018,25,-0.011999999999999988,1.2231958142505228
2018,26,1.0875,1.1075752796085692
2018,27,1.1187999999999998,0.3946127215384723
2018,28,0.034200000000000015,0.5699707887251767
2018,29,0.04599999999999997,0.4132723073229078
2018,30,-0.05919999999999996,1.290824426480999
2018,31,-0.06120000000000001,0.3999521221346375
2018,32,0.018199999999999994,0.682327414076263
2018,33,0.37,0.34070001467566746
2018,34,-0.2746,0.8835939678381695
2018,35,-0.39725000000000005,0.6113871523020418
2018,36,0.6,1.0861388032843684
2018,37,0.7442,0.9834437960554737
2018,38,0.18040000000000006,0.4735655181704006
2018,39,-0.8656,1.317841340981531
2018,40,-0.8012,1.595451252780855
2018,41,0.1762,1.3423817266336726
2018,42,-0.09840000000000008,1.9644025300329868
2018,43,0.64,1.583736720544169
2018,44,0.7208,0.7452873271430288
2018,45,0.24440000000000003,2.4489846467464838
2018,46,-1.21575,1.8761692132285581
2018,47,0.034399999999999945,1.5636562282036293
2018,48,-1.419,2.683694344245137
2018,49,0.26680000000000004,1.342692704977576
2018,50,-1.1184,2.3813001280812967
2018,51,0.4979999999999999,3.083254449441369
2018,52,0.736,0.0
